Horodateur,"Quelle a été votre note   au bac de Mathématiques ?","Combien d'heures dormez - vous par nuit ?","Combien de temps à l'avance commencez - vous à réviser pour un examen important ?","Quelle spécialité envisagez - vous de choisir en Master à l'EFREI ?","Quelle a été votre note en Analyse 1 à l'EFREI ?","Sur une échelle de 1 à 10, combien évaluez - vous la difficulté de la matière Algèbre Générale ?","A quelle fréquence participez - vous à des activités extra - scolaires ? (sports, loisirs, sorties) ","A quelle fréquence avez - vous sollicité les permanences pédagogiques durant le semestre dernier ? ","Avez - vous plus d'heures de sommeil en demi - journée le matin ou l'après-midi ?","A quelle fréquence participez - vous à des évènements sociaux ou rencontres avec d'autres étudiants en dehors des cours ?","Quelle est votre moyenne au S1 à l'EFREI ?","A quelle fréquence allez - vous en Cours Magistral ?","Pensez - vous que les épreuves sont bien réparties dans l'année ?","Avec combien de personnes vivez - vous ?","A quelle fréquence allez - vous au tableau lors des séances de TD ?"
"2026/04/14 09:38:28.265",14,"7 h-8 h","Environ 1 semaine avant","It for Finance",3,5,"Plusieurs fois par semaine",Rarement,après-midi,"Plusieurs fois par semaine",10.62,Souvent,Oui,3,Rarement
"2026/04/14 10:43:06.562",12,6,"2 à 3 jours avant","Réseau et Sécurité",9.8,6,"Une fois par semaine",Rarement,après-midi,"Une fois par mois",14.27,Systématiquement,"Elles devraient  être plus espacées dans le temps",3,Souvent
"2026/04/14 11:33:26.458",15,6,"2 à 3 semaines avant","Je ne sais pas encore",2.8,7,Rarement,Régulièrement,après-midi,Rarement,9.9,Systématiquement,"Elles devraient  être plus espacées dans le temps",0,Jamais
"2026/04/14 12:44:04.237",17,6h,"Environ 1 semaine avant","Je ne sais pas encore",7.63,5,"Une fois par semaine",Régulièrement,matin,"Une fois par semaine",12,Systématiquement,Oui,0,Rarement
"2026/04/14 16:07:13.052",13,7h30-8h,"Environ 1 semaine avant","Data & IA",7.25,8,"Plusieurs fois par semaine",Rarement,"tout autan","Une fois par semaine",12,Systématiquement,Oui,0,Rarement
"2026/04/14 16:23:42.130",18,8.5,"Le jour - même","Data & IA",15,2,"Plusieurs fois par semaine",Rarement,après-midi,"Plusieurs fois par semaine",16,Systématiquement,"Elles devraient  être plus espacées dans le temps",2,Jamais
"2026/04/14 20:11:45.797",14,8,"Environ 1 semaine avant","Cybersécurité Infrastructure et Logiciels",5.5,9,"Une fois par mois",Régulièrement,"tout autan",Rarement,12,Systématiquement,Oui,3,Jamais
"2026/04/15 11:59:32.215",18.5,7.5,"Environ 1 semaine avant","Système Robotique et Drones",6.5,2,Rarement,Rarement,après-midi,"Une fois par semaine",15.25,Systématiquement,"Elles devraient  être plus espacées dans le temps",0,Toujours
"2026/04/15 12:50:02.162",7,6h,"Environ 1 semaine avant","Business Intelligence & Analytics",14,4,Jamais,Jamais,"tout autan",Jamais,9.97,Systématiquement,"Elles devraient  être plus espacées dans le temps",3,Toujours
"2026/04/15 16:15:56.316",16,6-7,"2 à 3 jours avant","Je ne sais pas encore",10.75,5,Jamais,Jamais,"tout autan","Une fois par mois",13.54,Systématiquement,Oui,1,Jamais
"2026/04/15 16:16:03.159",15,7,"Environ 1 semaine avant","Cybersécurité Infrastructure et Logiciels",5.5,6,"Plusieurs fois par semaine",Jamais,matin,Jamais,13,Systématiquement,Oui,0,Rarement
"2026/04/15 16:16:16.161",14,6h,"Environ 1 semaine avant","Réseau et Sécurité",9.62,9,"Plusieurs fois par semaine",Rarement,après-midi,Jamais,11.75,Systématiquement,"Elles devraient  être plus espacées dans le temps",1,Rarement
"2026/04/15 16:16:39.876",18,7,"2 à 3 jours avant","Data & IA",9.87,8,"Une fois par mois",Jamais,après-midi,"Une fois par semaine",14.14,Systématiquement,Oui,0,Rarement
"2026/04/15 16:16:59.791",13,6.5,"2 à 3 semaines avant","Je ne sais pas encore",7.2,8,Rarement,Jamais,après-midi,Rarement,12.24,Systématiquement,"Elles devraient  être plus espacées dans le temps",3,Rarement
"2026/04/15 16:17:33.606",15,6,"Environ 1 semaine avant","Réseau et Sécurité",7.13,9,"Plusieurs fois par semaine",Rarement,après-midi,Jamais,12.96,Systématiquement,"Elles devraient  être plus espacées dans le temps",3,Rarement
"2026/04/15 16:17:51.421",1,16,"2 à 3 jours avant","Je ne sais pas encore",9.28,6,"Une fois par semaine",Rarement,après-midi,"Une fois par semaine",13.7,Systématiquement,"Elles devraient  être plus espacées dans le temps",3,Jamais
"2026/04/15 16:17:52.386",17,"entre 5 et 9","Environ 1 semaine avant","Je ne sais pas encore",9.13,7,"Plusieurs fois par semaine",Jamais,matin,"Une fois par semaine",12.73,Systématiquement,"Elles devraient être moins espacées dans le temps",0,Rarement
"2026/04/15 16:17:52.448",20,8,"2 à 3 jours avant","Cybersécurité Infrastructure et Logiciels",11.53,3,"Plusieurs fois par semaine",Jamais,après-midi,"Plusieurs fois par semaine",14.38,Systématiquement,Oui,3,Rarement
"2026/04/15 16:18:17.681",16,9,"2 à 3 jours avant","Cybersécurité & Cloud",6.5,7,Rarement,Rarement,"tout autan",Jamais,14.7,Systématiquement,"Elles devraient  être plus espacées dans le temps",2,Rarement
"2026/04/15 16:18:57.306",18,8h45,"Environ 1 semaine avant","Je ne sais pas encore",9,6,"Une fois par semaine",Jamais,après-midi,Rarement,15.93,Systématiquement,Oui,3,Rarement
"2026/04/15 16:19:00.825",17.5,~7h,"La veille","Software Engineering",11.4,5,Rarement,Jamais,matin,"Une fois par semaine",14.5,Systématiquement,"Elles devraient être moins espacées dans le temps",1,Rarement
"2026/04/15 16:19:15.130",15,7h,"2 à 3 jours avant","Software Engineering",8.53,5,"Une fois par semaine",Rarement,après-midi,"Plusieurs fois par semaine",14.18,Systématiquement,"Elles devraient  être plus espacées dans le temps",3,Jamais
"2026/04/15 16:21:59.496",18,7,"Environ 1 semaine avant","Je ne sais pas encore",10.13,4,"Une fois par semaine",Rarement,après-midi,Rarement,14.92,Systématiquement,Oui,3,Rarement
"2026/04/15 16:22:07.554",12,7,"La veille","Je ne sais pas encore","DE : 11",2,"Une fois par semaine",Jamais,après-midi,"Une fois par semaine",14,Systématiquement,Oui,3,Rarement
"2026/04/16 15:19:26.875",16,6,"Environ 1 semaine avant","Big Data & Machine Learning",Absent,3,"Une fois par semaine",Rarement,matin,Jamais,12,Rarement,"Elles devraient être moins espacées dans le temps",2,Rarement
"2026/04/16 15:20:11.673",13,~4/5,"La veille","Cybersécurité Infrastructure et Logiciels",8,8,Rarement,Rarement,après-midi,Jamais,"Jsp genre 9",Systématiquement,Oui,0,Rarement
"2026/04/16 15:20:19.149",18,"6-7 h","Environ 1 semaine avant","Je ne sais pas encore",12.27,7,"Une fois par semaine",Rarement,"tout autan","Une fois par semaine",13.9,Systématiquement,"Elles devraient  être plus espacées dans le temps",0,Jamais
"2026/04/16 15:20:45.513",17,7,"Environ 1 semaine avant","Je ne sais pas encore",5,7,"Une fois par semaine",Jamais,après-midi,Rarement,14,Systématiquement,Oui,1,Rarement
"2026/04/16 15:21:20.244",16,"8/10 heure","Environ 1 semaine avant","Je ne sais pas encore",8,3,"Plusieurs fois par semaine",Régulièrement,après-midi,"Une fois par semaine",14,Systématiquement,"Elles devraient  être plus espacées dans le temps",0,Toujours
"2026/04/16 15:21:37.185",14,6,"2 à 3 jours avant","It for Finance",6,5,"Plusieurs fois par semaine",Jamais,après-midi,Jamais,12,Systématiquement,"Elles devraient  être plus espacées dans le temps",1,Jamais
"2026/04/16 15:21:43.966",19,5,"Environ 1 semaine avant","Je ne sais pas encore",8,5,Rarement,Systématiquement,après-midi,Jamais,11,Systématiquement,"Elles devraient  être plus espacées dans le temps",3,Rarement
"2026/04/16 15:22:32.510",16,"7-8h ","2 à 3 jours avant","Cybersécurité Infrastructure et Logiciels",12.5,3,"Une fois par semaine",Jamais,après-midi,"Une fois par semaine",14.5,Souvent,"Elles devraient  être plus espacées dans le temps","5 ( moi compris ) ",Souvent
"2026/04/16 15:22:48.745",18,5-7,"Environ 1 semaine avant","Je ne sais pas encore",8.37,5,"Plusieurs fois par semaine",Rarement,après-midi,Rarement,12.81,Systématiquement,"Elles devraient  être plus espacées dans le temps",4,Rarement
"2026/04/16 15:22:56.327",16,8,"2 à 3 jours avant","Je ne sais pas encore",6,6,Rarement,Jamais,après-midi,Jamais,11.9,Systématiquement,Oui,0,Rarement
"2026/04/16 15:23:30.147",9,6,"2 à 3 jours avant","Je ne sais pas encore","En attente du rattrapage",5,"Plusieurs fois par semaine",Rarement,matin,"Plusieurs fois par semaine","En attente des rattrages de mathématiques",Systématiquement,"Elles devraient  être plus espacées dans le temps","Je vis seul",Souvent
"2026/04/16 15:23:35.718",14,5h,"Environ 1 semaine avant","Big Data & Machine Learning",7,7,"Une fois par semaine",Rarement,après-midi,Jamais,9.31,Systématiquement,"Elles devraient  être plus espacées dans le temps",4,Jamais
"2026/04/16 15:23:38.902",18,8h,"Environ 1 semaine avant","Data Engineering",8.22,2,"Plusieurs fois par semaine",Jamais,après-midi,Jamais,14.51,Systématiquement,Oui,4-5-6,Jamais
"2026/04/16 15:23:44.523",16.5,7h-8h,"2 à 3 jours avant","Je ne sais pas encore",7.65,6,"Plusieurs fois par semaine",Jamais,matin,"Une fois par semaine",11.53,Systématiquement,Oui,2,Rarement
"2026/04/16 15:23:47.029",19,5h,"Environ 1 semaine avant","Réseau et Sécurité",10.63,5,"Plusieurs fois par semaine",Jamais,matin,"Une fois par semaine",14.34,Systématiquement,"Elles devraient  être plus espacées dans le temps",4,Souvent
"2026/04/16 15:23:57.253",17,"6 à 7","1 mois ou plus à l'avance","Data & IA",6,6,Jamais,Régulièrement,après-midi,Jamais,10,Systématiquement,"Elles devraient  être plus espacées dans le temps",4,Jamais
"2026/04/16 15:23:58.244",14,5,"La veille","Système Robotique et Drones",6.5,6,Jamais,Jamais,après-midi,Jamais,11.7,Systématiquement,Oui,4,Jamais
"2026/04/16 15:24:03.447",17,6,"Environ 1 semaine avant","Je ne sais pas encore",7.3,8,"Plusieurs fois par semaine",Jamais,après-midi,Rarement,9.86,Systématiquement,Oui,3,Jamais
"2026/04/16 15:24:48.366",14,6,"Environ 1 semaine avant","Je ne sais pas encore",7,8,"Une fois par mois",Rarement,"tout autan","Une fois par mois",11.5,Souvent,"Elles devraient  être plus espacées dans le temps",2,Rarement
"2026/04/16 15:25:14.897",16,6-8,"2 à 3 semaines avant","Je ne sais pas encore",7,6,Rarement,Jamais,après-midi,"Une fois par mois",10.8,Systématiquement,"Elles devraient  être plus espacées dans le temps",О,Jamais
"2026/04/16 15:25:42.668",16,8,"2 à 3 jours avant","Software Engineering",6,8,"Une fois par mois",Rarement,matin,"Une fois par semaine",10.03,Systématiquement,"Elles devraient  être plus espacées dans le temps",0,Rarement
"2026/04/16 15:25:48.583",17,6-7h,"2 à 3 jours avant","Data Engineering","7.6 😒",6,"Plusieurs fois par semaine",Rarement,matin,"Une fois par semaine",12.73,Systématiquement,"Elles devraient  être plus espacées dans le temps",Seul,Souvent
"2026/04/16 15:26:15.605",16,6,"2 à 3 jours avant","Data Engineering",5,8,"Plusieurs fois par semaine",Jamais,après-midi,"Plusieurs fois par semaine",11.5,Systématiquement,"Elles devraient  être plus espacées dans le temps",3,Rarement
"2026/04/16 16:15:51.457",13,6,"2 à 3 jours avant","Je ne sais pas encore",2,5,"Plusieurs fois par semaine",Régulièrement,après-midi,Rarement,10,Systématiquement,"Elles devraient  être plus espacées dans le temps",1,Rarement
"2026/04/16 16:16:00.675",13,6,"Environ 1 semaine avant","It for Finance",3,7,Rarement,Rarement,matin,Jamais,8.5,Systématiquement,"Elles devraient  être plus espacées dans le temps",3,Jamais
"2026/04/16 16:16:25.514",11,6,"2 à 3 jours avant","Cybersécurité Infrastructure et Logiciels",2,6,"Une fois par semaine",Rarement,après-midi,"Une fois par semaine",9.17,Systématiquement,"Elles devraient être moins espacées dans le temps",3,Rarement
"2026/04/16 16:17:16.893",8,6,"Environ 1 semaine avant","Cybersécurité Infrastructure et Logiciels",2,8,Rarement,Régulièrement,matin,Rarement,7.69,Systématiquement,"Elles devraient  être plus espacées dans le temps",Seul,Jamais
"2026/04/16 16:17:55.079",9,6-7,"Environ 1 semaine avant","Je ne sais pas encore",7,6,"Plusieurs fois par semaine",Rarement,après-midi,Jamais,10.5,Souvent,"Elles devraient  être plus espacées dans le temps",3,Rarement
"2026/04/16 16:18:07.456",10,7,"Environ 1 semaine avant","It for Finance",2,7,"Une fois par semaine",Rarement,matin,Jamais,8.8,Systématiquement,"Elles devraient  être plus espacées dans le temps",3,Rarement
"2026/04/16 16:18:09.667",12,7,"2 à 3 jours avant","It for Finance",6,3,"Plusieurs fois par semaine",Rarement,après-midi,Jamais,11,Systématiquement,Oui,5,Jamais
"2026/04/16 16:18:13.118",11,7h,"2 à 3 jours avant","Je ne sais pas encore",6.5,2,"Une fois par semaine",Régulièrement,après-midi,"Une fois par semaine",11,"De temps en temps","Elles devraient  être plus espacées dans le temps",0,Rarement
"2026/04/16 16:18:19.544",7,7,"2 à 3 jours avant","Je ne sais pas encore",4,9,"Une fois par semaine",Régulièrement,après-midi,Rarement,9,Systématiquement,"Elles devraient  être plus espacées dans le temps",4,Rarement
"2026/04/16 16:19:36.466",15,~5,"La veille","Je ne sais pas encore",7,7,"Plusieurs fois par semaine",Jamais,"tout autan",Jamais,12.37,Souvent,Oui,3,Rarement
"2026/04/16 16:19:49.946",13,"environ 8","2 à 3 jours avant","Data & IA",7,8,"Une fois par semaine",Régulièrement,après-midi,Rarement,10.84,Systématiquement,"Elles devraient  être plus espacées dans le temps",2,Rarement
"2026/04/16 16:20:41.989",13,7/8H,"Environ 1 semaine avant","It for Finance",5,9,Rarement,Régulièrement,après-midi,Rarement,9.54,Systématiquement,"Elles devraient  être plus espacées dans le temps",2,Rarement
"2026/04/16 16:23:54.804",8,5,"Environ 1 semaine avant","Cybersécurité Infrastructure et Logiciels",6,4,"Plusieurs fois par semaine",Rarement,après-midi,"Plusieurs fois par semaine",10.9,Souvent,"Elles devraient  être plus espacées dans le temps",3,Rarement
"2026/04/17 13:20:45.710",15,8,"2 à 3 jours avant","Cybersécurité Infrastructure et Logiciels",10,3,"Plusieurs fois par semaine",Rarement,matin,Rarement,14.5,Systématiquement,Oui,2,Rarement
"2026/04/17 13:20:47.949",12,8,"Environ 1 semaine avant","Je ne sais pas encore",4.8,7,Rarement,Systématiquement,"tout autan",Rarement,12,Systématiquement,Oui,2,Rarement
"2026/04/17 13:22:23.865",16,8,"Environ 1 semaine avant","Je ne sais pas encore",2.8,7,"Une fois par semaine",Systématiquement,matin,"Une fois par semaine",10.86,Systématiquement,"Elles devraient  être plus espacées dans le temps",3,Toujours
"2026/04/17 13:52:49.097",13,8,"Environ 1 semaine avant","Système Robotique et Drones",9,3,"Plusieurs fois par semaine",Rarement,après-midi,Rarement,13,Systématiquement,Oui,3,Rarement
"2026/04/22 11:31:24.873",12,6,"Environ 1 semaine avant","Big Data & Machine Learning",2.8,4,"Une fois par semaine",Rarement,après-midi,"Une fois par semaine",11,Systématiquement,"Elles devraient  être plus espacées dans le temps",3,Jamais
"2026/04/22 11:31:36.137",16,5,"Environ 1 semaine avant","Software Engineering",8,4,"Une fois par semaine",Jamais,matin,"Une fois par mois",9.79,Systématiquement,"Elles devraient  être plus espacées dans le temps",3,Rarement
"2026/04/22 12:01:32.800",10,8,"2 à 3 jours avant","Je ne sais pas encore",7,8,"Une fois par semaine",Régulièrement,après-midi,"Une fois par mois",11.91,Systématiquement,Oui,3,Souvent
"2026/04/22 14:11:21.699",13,6,"Environ 1 semaine avant","It for Finance",3,8,"Une fois par semaine",Jamais,après-midi,Rarement,8.33,Systématiquement,"Elles devraient  être plus espacées dans le temps",3,Rarement
