Horodateur,"En général, pour vous préparer à un partiel CE/DE, sur combien d'annales des années précédentes vous entraînez-vous ? (0 à 4+)","Quelle note donneriez-vous à votre équilibre vie personnelle / études ? (0 à 5)","Globalement, estimez-vous que votre niveau de confiance avant un DE reflète bien votre performance finale ? (1 à 5) ","Pensez-vous que la répartition des examens influence vos résultats académiques ? (1 à 5)","Combien d'heures dormez-vous en moyenne les nuits précédant un DE ? (1 à 5)","Comment décririez-vous votre organisation de travail en dehors des cours ?  (1 à 5)","En général, combien de jours avant le CE/DE commencez-vous a réviser ? (0 à 5)","Quelle est votre niveau d'implication associative à l'Efrei ? (0 à 4)","Combien de temps commencez-vous à réviser avant un DE ? (1 à 5)","Faites-vous du sport (à l'école ou en dehors) ? Combien d'heures par semaine ? (0 à 4)","Quelle moyenne avez-vous obtenu au bac dans vos spécialités scientifiques ? (1 à 5)","Combien de fois par semaine relisez-vous vos cours en dehors des périodes de révision (hors période d'examens) ? (0 à 4)","Assistez-vous à tous le CMs ? (0 à 3)","Combien de temps mettez-vous pour venir à l'Efrei ? (1 à 6)","Dans quelle classe vous trouvez-vous ? ","Avez-vous fait le semestre, en question dans le sondage, à l'efrei ?"
"2026/04/14 09:00:24.863",2,3/5,"3 : Moyennement","5 : Absolument","2 : Entre 4 à 6 heures","2 : Je révise surtout la semaine précédant les examens","3 : 5 : 2 semaines avant l'examen","0 : Aucune","4 : 1 semaine","1 : 2-4h","2 : 8-11","2 : 2-3 fois","2 : Presque tous","~4 : ~1h",P1-SC5,Oui
"2026/04/14 09:50:31.873",3,3/5,"3 : Moyennement","4 : Plutôt oui","2 : Entre 4 à 6 heures","2 : Je révise surtout la semaine précédant les examens","3 : 5 : 2 semaines avant l'examen","0 : Aucune","5 : 2 semaines","1 : 2-4h","2 : 8-11","2 : 2-3 fois","1 : Rarement","~4 : ~5 : ~1h30",P1-SC7,Oui
"2026/04/14 10:24:35.646",2,2/5,"1 : Pas du tout","4 : Plutôt oui","3 : Entre 6 à 7 heures","3 : Je commence à réviser quelques semaines avant les examens","2 : 1 mois avant l'examen","1 : Membre occasionnel","4 : 1 semaine","3 : 9-12h","3 : 12-14","2 : 2-3 fois","2 : Presque tous","~3 : ~ 45min",P1-SC7,Oui
"2026/04/14 10:29:52.329",1,1/5,"2 : Pas vraiment","4 : Plutôt oui","2 : Entre 4 à 6 heures","2 : Je révise surtout la semaine précédant les examens","5 : Durant la semaine de l'examen","0 : Aucune","4 : 1 semaine","1 : 2-4h","2 : 8-11","0 : Jamais","2 : Presque tous","~3 : ~ 45min",P1-SC7,Oui
"2026/04/14 11:24:20.084",2,2/5,"3 : Moyennement","4 : Plutôt oui","2 : Entre 4 à 6 heures","2 : Je révise surtout la semaine précédant les examens","5 : Durant la semaine de l'examen","1 : Membre occasionnel","3 : 5-6 jours","1 : 2-4h","4 : 15-17","0 : Jamais","2 : Presque tous","~2 : ~30 min",P1-BDX,Oui
"2026/04/14 11:42:58.231",4+,2/5,"1 : Pas du tout","5 : Absolument","1 : Moins de 4 heures","3 : Je commence à réviser quelques semaines avant les examens","3 : 5 : 2 semaines avant l'examen","0 : Aucune","5 : 2 semaines","1 : 2-4h","3 : 12-14","3 : 4-5 fois","3 : J'assiste à tous les CMs","~4 : ~1h",P1-SC5,Oui
"2026/04/14 11:50:39.442",1,0/5,"4 : Plutôt oui","5 : Absolument","5 : Plus de 8 heures","2 : Je révise surtout la semaine précédant les examens","5 : Durant la semaine de l'examen","0 : Aucune","2 : 3-4 jours","2 : 5-8h","3 : 12-14","1 : 1 fois","2 : Presque tous","~4 : ~5 : ~1h30",P1-SC6,Oui
"2026/04/14 13:38:39.906",2,4/5,"3 : Moyennement","5 : Absolument","3 : Entre 6 à 7 heures","3 : Je commence à réviser quelques semaines avant les examens","2 : 1 mois avant l'examen","1 : Membre occasionnel","5 : 2 semaines","1 : 2-4h","4 : 15-17","1 : 1 fois","3 : J'assiste à tous les CMs","~2 : ~30 min",P1-SC6,Oui
"2026/04/14 16:19:58.140",2,5/5,"4 : Plutôt oui","2 : Pas vraiment","4 : Entre 7 à 8 heures","2 : Je révise surtout la semaine précédant les examens","5 : Durant la semaine de l'examen","2 : Membre actif","1 : 1-2 jours","2 : 5-8h","3 : 12-14","0 : Jamais","1 : Rarement","~4 : ~5 : ~1h30",P1-SC5,Oui
"2026/04/14 17:54:30.622",1,4/5,"4 : Plutôt oui","5 : Absolument","3 : Entre 6 à 7 heures","2 : Je révise surtout la semaine précédant les examens","3 : 5 : 2 semaines avant l'examen","1 : Membre occasionnel","5 : 2 semaines","2 : 5-8h","5 : 18-20","1 : 1 fois","3 : J'assiste à tous les CMs","~4 : ~1h",P1-BDX,Oui
"2026/04/14 18:34:07.949",1,4/5,"3 : Moyennement","5 : Absolument","4 : Entre 7 à 8 heures","1 : Je révise principalement la veille des examens","5 : Durant la semaine de l'examen","1 : Membre occasionnel","1 : 1-2 jours","2 : 5-8h","3 : 12-14","1 : 1 fois","3 : J'assiste à tous les CMs","1 : - 15 min",P1-BDX,Oui
"2026/04/14 19:25:43.701",4+,1/5,"1 : Pas du tout","5 : Absolument","2 : Entre 4 à 6 heures","3 : Je commence à réviser quelques semaines avant les examens","3 : 5 : 2 semaines avant l'examen","1 : Membre occasionnel","5 : 2 semaines","1 : 2-4h","2 : 8-11","2 : 2-3 fois","3 : J'assiste à tous les CMs","~4 : ~5 : ~1h30",P1-SC5,Oui
"2026/04/14 19:43:00.800",2,2/5,"3 : Moyennement","4 : Plutôt oui","3 : Entre 6 à 7 heures","2 : Je révise surtout la semaine précédant les examens","3 : 5 : 2 semaines avant l'examen","0 : Aucune","3 : 5-6 jours","1 : 2-4h","3 : 12-14","1 : 1 fois","2 : Presque tous","~4 : ~1h",P1-SC7,Non
"2026/04/14 20:13:22.673",3,2/5,"3 : Moyennement","2 : Pas vraiment","1 : Moins de 4 heures","3 : Je commence à réviser quelques semaines avant les examens","2 : 1 mois avant l'examen","0 : Aucune","5 : 2 semaines","1 : 2-4h","4 : 15-17","2 : 2-3 fois","2 : Presque tous","~4 : ~5 : ~1h30",P1-SC5,Oui
"2026/04/15 10:03:05.238",2,5/5,"3 : Moyennement","2 : Pas vraiment","5 : Plus de 8 heures","2 : Je révise surtout la semaine précédant les examens","5 : Durant la semaine de l'examen","0 : Aucune","3 : 5-6 jours","2 : 5-8h","4 : 15-17","0 : Jamais","3 : J'assiste à tous les CMs","~2 : ~30 min",P1-BDX,Oui
"2026/04/15 13:08:17.746",3,3/5,"3 : Moyennement","4 : Plutôt oui","2 : Entre 4 à 6 heures","4 : Je travaille régulièrement tout au long du semestre","4 : 4 : 1 semaine avant l'examen","1 : Membre occasionnel","4 : 1 semaine","0 : Ne fait pas de sport","3 : 12-14","1 : 1 fois","3 : J'assiste à tous les CMs","~3 : ~ 45min",P1-SC6,Oui
"2026/04/15 15:01:12.576",2,3/5,"2 : Pas vraiment","3 : Moyennement","3 : Entre 6 à 7 heures","3 : Je commence à réviser quelques semaines avant les examens","3 : 5 : 2 semaines avant l'examen","2 : Membre actif","5 : 2 semaines","1 : 2-4h","3 : 12-14","1 : 1 fois","3 : J'assiste à tous les CMs","1 : - 15 min",P1-BDX,Oui
"2026/04/15 15:30:33.533",2,1/5,"1 : Pas du tout","4 : Plutôt oui","2 : Entre 4 à 6 heures","2 : Je révise surtout la semaine précédant les examens","2 : 1 mois avant l'examen","1 : Membre occasionnel","5 : 2 semaines","1 : 2-4h","3 : 12-14","2 : 2-3 fois","2 : Presque tous","~3 : ~ 45min",P1-SC5,Oui
"2026/04/15 15:40:58.609",2,2/5,"2 : Pas vraiment","3 : Moyennement","2 : Entre 4 à 6 heures","4 : Je travaille régulièrement tout au long du semestre","5 : Durant la semaine de l'examen","0 : Aucune","5 : 2 semaines","1 : 2-4h","3 : 12-14","2 : 2-3 fois","3 : J'assiste à tous les CMs","~2 : ~30 min",P1-BDX,Oui
"2026/04/15 16:10:32.312",3,2/5,"2 : Pas vraiment","2 : Pas vraiment","3 : Entre 6 à 7 heures","3 : Je commence à réviser quelques semaines avant les examens","3 : 5 : 2 semaines avant l'examen","0 : Aucune","5 : 2 semaines","0 : Ne fait pas de sport","3 : 12-14","1 : 1 fois","3 : J'assiste à tous les CMs","~2 : ~30 min",P1-SC5,Oui
"2026/04/17 08:05:45.568",2,4/5,"4 : Plutôt oui","3 : Moyennement","3 : Entre 6 à 7 heures","2 : Je révise surtout la semaine précédant les examens","4 : 4 : 1 semaine avant l'examen","1 : Membre occasionnel","3 : 5-6 jours","1 : 2-4h","3 : 12-14","1 : 1 fois","2 : Presque tous","~4 : ~1h",P1-SC6,Oui
"2026/04/17 08:07:49.166",2,2/5,"4 : Plutôt oui","3 : Moyennement","3 : Entre 6 à 7 heures","2 : Je révise surtout la semaine précédant les examens","4 : 4 : 1 semaine avant l'examen","1 : Membre occasionnel","3 : 5-6 jours","2 : 5-8h","3 : 12-14","2 : 2-3 fois","2 : Presque tous","~4 : ~5 : ~1h30",P1-SC6,Oui
"2026/04/17 08:08:14.076",2,3/5,"2 : Pas vraiment","3 : Moyennement","2 : Entre 4 à 6 heures","2 : Je révise surtout la semaine précédant les examens","5 : Durant la semaine de l'examen","1 : Membre occasionnel","3 : 5-6 jours","3 : 9-12h","5 : 18-20","0 : Jamais","2 : Presque tous","~4 : ~5 : ~1h30",P1-SC6,Oui
"2026/04/17 08:08:56.413",3,2/5,"3 : Moyennement","4 : Plutôt oui","2 : Entre 4 à 6 heures","2 : Je révise surtout la semaine précédant les examens","4 : 4 : 1 semaine avant l'examen","2 : Membre actif","5 : 2 semaines","2 : 5-8h","4 : 15-17","1 : 1 fois","2 : Presque tous","~4 : ~5 : ~1h30",P1-SC6,Oui
"2026/04/17 09:31:19.238",2,3/5,"3 : Moyennement","4 : Plutôt oui","3 : Entre 6 à 7 heures","2 : Je révise surtout la semaine précédant les examens","4 : 4 : 1 semaine avant l'examen","1 : Membre occasionnel","4 : 1 semaine","2 : 5-8h","3 : 12-14","4 : Tous les jours","2 : Presque tous","~4 : ~1h",P1-SC5,Oui
"2026/04/17 09:31:41.105",1,2/5,"2 : Pas vraiment","5 : Absolument","1 : Moins de 4 heures","2 : Je révise surtout la semaine précédant les examens","5 : Durant la semaine de l'examen","0 : Aucune","3 : 5-6 jours","2 : 5-8h","2 : 8-11","1 : 1 fois","2 : Presque tous","~2 : ~30 min",P1-SC5,Oui
"2026/04/17 09:31:59.291",2,3/5,"3 : Moyennement","4 : Plutôt oui","1 : Moins de 4 heures","2 : Je révise surtout la semaine précédant les examens","4 : 4 : 1 semaine avant l'examen","1 : Membre occasionnel","5 : 2 semaines","2 : 5-8h","2 : 8-11","2 : 2-3 fois","3 : J'assiste à tous les CMs","~4 : ~5 : ~1h30",P1-SC5,Oui
"2026/04/17 09:32:06.778",2,2/5,"2 : Pas vraiment","5 : Absolument","3 : Entre 6 à 7 heures","2 : Je révise surtout la semaine précédant les examens","4 : 4 : 1 semaine avant l'examen","1 : Membre occasionnel","3 : 5-6 jours","1 : 2-4h","2 : 8-11","2 : 2-3 fois","2 : Presque tous","~4 : ~5 : ~1h30",P1-SC5,Oui
"2026/04/17 09:32:16.910",2,4/5,"4 : Plutôt oui","4 : Plutôt oui","4 : Entre 7 à 8 heures","3 : Je commence à réviser quelques semaines avant les examens","4 : 4 : 1 semaine avant l'examen","0 : Aucune","5 : 2 semaines","1 : 2-4h","3 : 12-14","1 : 1 fois","3 : J'assiste à tous les CMs","~4 : ~5 : ~1h30",P1-SC5,Oui
"2026/04/17 09:32:38.211",2,3/5,"1 : Pas du tout","5 : Absolument","4 : Entre 7 à 8 heures","2 : Je révise surtout la semaine précédant les examens","3 : 5 : 2 semaines avant l'examen","2 : Membre actif","4 : 1 semaine","4 : +12h","4 : 15-17","2 : 2-3 fois","2 : Presque tous","~4 : ~1h",P1-SC5,Oui
"2026/04/17 09:32:53.008",2,2/5,"3 : Moyennement","3 : Moyennement","2 : Entre 4 à 6 heures","2 : Je révise surtout la semaine précédant les examens","4 : 4 : 1 semaine avant l'examen","1 : Membre occasionnel","5 : 2 semaines","3 : 9-12h","3 : 12-14","2 : 2-3 fois","2 : Presque tous","~2 : ~30 min",P1-SC5,Oui
"2026/04/17 09:33:18.505",0,0/5,"3 : Moyennement","1 : Pas du tout","2 : Entre 4 à 6 heures","1 : Je révise principalement la veille des examens","0 : Je ne révise pas","2 : Membre actif","1 : 1-2 jours","2 : 5-8h","1 : -8 (je suis une fraude)","0 : Jamais","3 : J'assiste à tous les CMs","~4 : ~5 : ~1h30",P1-SC5,Oui
"2026/04/17 09:33:20.686",2,3/5,"3 : Moyennement","2 : Pas vraiment","5 : Plus de 8 heures","4 : Je travaille régulièrement tout au long du semestre","3 : 5 : 2 semaines avant l'examen","0 : Aucune","5 : 2 semaines","1 : 2-4h","4 : 15-17","2 : 2-3 fois","3 : J'assiste à tous les CMs","~4 : ~1h",P1-SC5,Oui
"2026/04/17 09:33:30.665",2,2/5,"3 : Moyennement","4 : Plutôt oui","2 : Entre 4 à 6 heures","2 : Je révise surtout la semaine précédant les examens","4 : 4 : 1 semaine avant l'examen","0 : Aucune","4 : 1 semaine","0 : Ne fait pas de sport","3 : 12-14","0 : Jamais","3 : J'assiste à tous les CMs","~4 : ~1h",P1-SC5,Oui
"2026/04/17 09:39:45.577",2,3/5,"2 : Pas vraiment","4 : Plutôt oui","2 : Entre 4 à 6 heures","3 : Je commence à réviser quelques semaines avant les examens","3 : 5 : 2 semaines avant l'examen","1 : Membre occasionnel","5 : 2 semaines","0 : Ne fait pas de sport","3 : 12-14","2 : 2-3 fois","3 : J'assiste à tous les CMs","~4 : ~1h",P1-SC5,Oui
"2026/04/17 10:00:41.393",4+,2/5,"2 : Pas vraiment","4 : Plutôt oui","3 : Entre 6 à 7 heures","3 : Je commence à réviser quelques semaines avant les examens","3 : 5 : 2 semaines avant l'examen","0 : Aucune","5 : 2 semaines","1 : 2-4h","3 : 12-14","2 : 2-3 fois","2 : Presque tous","~4 : ~1h",P1-SC6,Oui
"2026/04/17 19:26:47.949",1,1/5,"1 : Pas du tout","5 : Absolument","2 : Entre 4 à 6 heures","1 : Je révise principalement la veille des examens","5 : Durant la semaine de l'examen","1 : Membre occasionnel","3 : 5-6 jours","0 : Ne fait pas de sport","3 : 12-14","0 : Jamais","2 : Presque tous","~4 : ~5 : ~1h30",P1-SC6,Oui
"2026/04/19 23:37:19.086",2,2/5,"3 : Moyennement","4 : Plutôt oui","2 : Entre 4 à 6 heures","2 : Je révise surtout la semaine précédant les examens","2 : 1 mois avant l'examen","1 : Membre occasionnel","5 : 2 semaines","1 : 2-4h","3 : 12-14","3 : 4-5 fois","3 : J'assiste à tous les CMs","~2 : ~30 min",P1-BDX,Oui
"2026/04/22 08:13:49.148",4+,4/5,"3 : Moyennement","3 : Moyennement","3 : Entre 6 à 7 heures","3 : Je commence à réviser quelques semaines avant les examens","4 : 4 : 1 semaine avant l'examen","2 : Membre actif","5 : 2 semaines","2 : 5-8h","4 : 15-17","2 : 2-3 fois","3 : J'assiste à tous les CMs","1 : - 15 min",P1-BDX,Oui
"2026/04/22 09:03:23.004",2,3/5,"5 : Absolument","4 : Plutôt oui","4 : Entre 7 à 8 heures","2 : Je révise surtout la semaine précédant les examens","2 : 1 mois avant l'examen","1 : Membre occasionnel","4 : 1 semaine","4 : +12h","3 : 12-14","0 : Jamais","1 : Rarement","1 : - 15 min",P1-SC5,Oui
"2026/04/22 09:03:25.229",3,4/5,"2 : Pas vraiment","4 : Plutôt oui","1 : Moins de 4 heures","2 : Je révise surtout la semaine précédant les examens","5 : Durant la semaine de l'examen","0 : Aucune","4 : 1 semaine","1 : 2-4h","3 : 12-14","0 : Jamais","1 : Rarement","~4 : ~5 : ~1h30",P1-SC5,Oui
"2026/04/22 09:04:40.712",3,1/5,"2 : Pas vraiment","3 : Moyennement","2 : Entre 4 à 6 heures","4 : Je travaille régulièrement tout au long du semestre","4 : 4 : 1 semaine avant l'examen","1 : Membre occasionnel","4 : 1 semaine","1 : 2-4h","4 : 15-17","1 : 1 fois","3 : J'assiste à tous les CMs","~4 : ~1h",P1-BDX,Oui
"2026/04/22 09:06:38.632",2,2/5,"2 : Pas vraiment","4 : Plutôt oui","2 : Entre 4 à 6 heures","2 : Je révise surtout la semaine précédant les examens","4 : 4 : 1 semaine avant l'examen","1 : Membre occasionnel","4 : 1 semaine","2 : 5-8h","2 : 8-11","2 : 2-3 fois","2 : Presque tous","~2 : ~30 min",P1-BDX,Oui
"2026/04/22 11:10:25.749",2,1/5,"1 : Pas du tout","5 : Absolument","3 : Entre 6 à 7 heures","2 : Je révise surtout la semaine précédant les examens","4 : 4 : 1 semaine avant l'examen","0 : Aucune","2 : 3-4 jours","3 : 9-12h","3 : 12-14","1 : 1 fois","2 : Presque tous","1 : - 15 min",P1-BDX,Oui
"2026/04/22 14:06:31.692",4+,3/5,"2 : Pas vraiment","5 : Absolument","1 : Moins de 4 heures","3 : Je commence à réviser quelques semaines avant les examens","3 : 5 : 2 semaines avant l'examen","0 : Aucune","5 : 2 semaines","1 : 2-4h","3 : 12-14","2 : 2-3 fois","1 : Rarement","~2 : ~30 min",P1-SC6,Oui
"2026/04/22 15:29:04.619",1,3/5,"2 : Pas vraiment","4 : Plutôt oui","2 : Entre 4 à 6 heures","2 : Je révise surtout la semaine précédant les examens","5 : Durant la semaine de l'examen","3 : Responsable / pôle","2 : 3-4 jours","0 : Ne fait pas de sport","3 : 12-14","1 : 1 fois","3 : J'assiste à tous les CMs","1 : - 15 min",P1-SC7,Oui
"2026/04/22 15:49:08.295",2,1/5,"3 : Moyennement","4 : Plutôt oui","3 : Entre 6 à 7 heures","3 : Je commence à réviser quelques semaines avant les examens","4 : 4 : 1 semaine avant l'examen","0 : Aucune","5 : 2 semaines","1 : 2-4h","3 : 12-14","2 : 2-3 fois","2 : Presque tous","~3 : ~ 45min",P1-SC5,Oui
"2026/04/22 16:30:24.540",3,2/5,"3 : Moyennement","4 : Plutôt oui","3 : Entre 6 à 7 heures","3 : Je commence à réviser quelques semaines avant les examens","3 : 5 : 2 semaines avant l'examen","1 : Membre occasionnel","5 : 2 semaines","0 : Ne fait pas de sport","2 : 8-11","2 : 2-3 fois","3 : J'assiste à tous les CMs","1 : - 15 min",P1-SC7,Oui
"2026/04/22 19:17:59.482",2,2/5,"3 : Moyennement","4 : Plutôt oui","4 : Entre 7 à 8 heures","2 : Je révise surtout la semaine précédant les examens","3 : 5 : 2 semaines avant l'examen","0 : Aucune","4 : 1 semaine","1 : 2-4h","3 : 12-14","2 : 2-3 fois","2 : Presque tous","1 : - 15 min",P1-SC6,Oui
"2026/04/22 20:37:14.812",3,3/5,"3 : Moyennement","3 : Moyennement","3 : Entre 6 à 7 heures","3 : Je commence à réviser quelques semaines avant les examens","3 : 5 : 2 semaines avant l'examen","0 : Aucune","4 : 1 semaine","1 : 2-4h","2 : 8-11","2 : 2-3 fois","2 : Presque tous","~2 : ~30 min",P1-SC7,Oui
"2026/04/23 09:49:13.122",2,1/5,"2 : Pas vraiment","3 : Moyennement","2 : Entre 4 à 6 heures","1 : Je révise principalement la veille des examens","5 : Durant la semaine de l'examen","2 : Membre actif","1 : 1-2 jours","1 : 2-4h","2 : 8-11","2 : 2-3 fois","2 : Presque tous","~4 : ~1h",P1-SC5,Oui
"2026/04/23 15:37:22.023",1,5/5,"4 : Plutôt oui","3 : Moyennement","5 : Plus de 8 heures","2 : Je révise surtout la semaine précédant les examens","5 : Durant la semaine de l'examen","0 : Aucune","2 : 3-4 jours","3 : 9-12h","4 : 15-17","0 : Jamais","3 : J'assiste à tous les CMs","1 : - 15 min",P1-BDX,Oui
,,,,,,,,,,,,,"Il n'y a pas de (0 : Jamais)","Il n'y a pas de (6 : +2h)",,
